needleDataset23Extended.mat, 0.8, traingd, [100 100], tansig-tansig-satlins, 2.000, 1000, hiddenNeuron2Layer_extended/Eta2
needleDataset23Extended.mat, 0.8, traingd, [150 150], tansig-tansig-satlins, 2.000, 1000, hiddenNeuron2Layer_extended/Eta2
needleDataset23Extended.mat, 0.8, traingd, [200 200], tansig-tansig-satlins, 2.000, 1000, hiddenNeuron2Layer_extended/Eta2
needleDataset23Extended.mat, 0.8, traingd, [250 250], tansig-tansig-satlins, 2.000, 1000, hiddenNeuron2Layer_extended/Eta2
needleDataset23Extended.mat, 0.8, traingd, [300 300], tansig-tansig-satlins, 2.000, 1000, hiddenNeuron2Layer_extended/Eta2
needleDataset23Extended.mat, 0.8, traingd, [400 400], tansig-tansig-satlins, 2.000, 1000, hiddenNeuron2Layer_extended/Eta2
needleDataset23Extended.mat, 0.8, traingd, [100 100], tansig-tansig-satlins, 11.00, 1000, hiddenNeuron2Layer_extended/Eta11
needleDataset23Extended.mat, 0.8, traingd, [150 150], tansig-tansig-satlins, 11.00, 1000, hiddenNeuron2Layer_extended/Eta11
needleDataset23Extended.mat, 0.8, traingd, [200 200], tansig-tansig-satlins, 11.00, 1000, hiddenNeuron2Layer_extended/Eta11
needleDataset23Extended.mat, 0.8, traingd, [250 250], tansig-tansig-satlins, 11.00, 1000, hiddenNeuron2Layer_extended/Eta11
needleDataset23Extended.mat, 0.8, traingd, [300 300], tansig-tansig-satlins, 11.00, 1000, hiddenNeuron2Layer_extended/Eta11
needleDataset23Extended.mat, 0.8, traingd, [400 400], tansig-tansig-satlins, 11.00, 1000, hiddenNeuron2Layer_extended/Eta11
needleDataset23Extended.mat, 0.8, traingd, [100 100], tansig-tansig-satlins, 5.000, 1000, hiddenNeuron2Layer_extended/Eta5
needleDataset23Extended.mat, 0.8, traingd, [150 150], tansig-tansig-satlins, 5.000, 1000, hiddenNeuron2Layer_extended/Eta5
needleDataset23Extended.mat, 0.8, traingd, [200 200], tansig-tansig-satlins, 5.000, 1000, hiddenNeuron2Layer_extended/Eta5
needleDataset23Extended.mat, 0.8, traingd, [250 250], tansig-tansig-satlins, 5.000, 1000, hiddenNeuron2Layer_extended/Eta5
needleDataset23Extended.mat, 0.8, traingd, [300 300], tansig-tansig-satlins, 5.000, 1000, hiddenNeuron2Layer_extended/Eta5
needleDataset23Extended.mat, 0.8, traingd, [400 400], tansig-tansig-satlins, 5.000, 1000, hiddenNeuron2Layer_extended/Eta5
