pendigits.tra , pendigits.val ,  25,  0.0400, 1.0,   5000,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.0400, 1.0,   1000,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.0400, 1.0,    500,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.0400, 1.0,    250,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.0400, 1.0,    150,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.0400, 1.0,     50,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.1000, 1.0,   5000,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.1000, 1.0,   1000,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.1000, 1.0,    500,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.1000, 1.0,    250,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.1000, 1.0,    150,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.1000, 1.0,     50,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.4000, 1.0,   5000,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.4000, 1.0,   1000,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.4000, 1.0,    500,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.4000, 1.0,    250,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.4000, 1.0,    150,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.4000, 1.0,     50,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.7500, 1.0,   5000,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.7500, 1.0,   1000,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.7500, 1.0,    500,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.7500, 1.0,    250,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.7500, 1.0,    150,  250,  500, tauL
pendigits.tra , pendigits.val ,  25,  0.7500, 1.0,     50,  250,  500, tauL
