206,   7, 201,  10
205,  42, 200,  45
204,  78, 199,  81
203, 112, 198, 116
135,   6, 128,   6
126,  20, 114,  20
125,  56, 113,  56
124,  92, 111,  91
123, 129, 111, 129
 80,  28,  79,  27
 79,  62,  79,  61
 79,  97,  79,  95
 92, 105,  88, 105
108, 117,  99, 117
184,  11, 177,  14
183,  42, 175,  44
157,  17, 147,  18
155,  48, 145,  50
182,  79, 175,  81
181, 115, 173, 119
154,  84, 144,  86
153, 121, 143, 122
 92,   3,  88,   1
108,  13,  99,  11
 91,  37,  87,  35
107,  47,  99,  46
 91,  73,  88,  72
106,  83,  98,  82
  8,  62,  22,  58

